Energiequelle;Leistung in kW
solar;600
solar;7
solar;63
solar;172
solar;600
solar;13
solar;15
solar;3.5
solar;4.5
solar;6
solar;11
solar;6.5
solar;3.5
solar;9.5
solar;5
solar;8
solar;600
solar;10
solar;26
solar;600
solar;6
solar;4
solar;3.5
solar;4
solar;4.5
solar;5.5
solar;9
solar;14
solar;6
solar;10
solar;4
solar;4
solar;3
solar;2
solar;2.5
solar;15
solar;100
solar;130
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;7.5
solar;7.5
solar;600
solar;600
solar;7.5
solar;600
solar;600
solar;600
solar;600
solar;600
solar;5.25
solar;600
solar;600
solar;600
solar;3.7
solar;7.04
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;12
solar;600
solar;320
solar;400
solar;14
solar;600
solar;2.5
solar;1
solar;600
solar;22.5
solar;40
solar;22.5
solar;22.5
solar;62
solar;43
solar;4.5
solar;18
solar;133
solar;413
solar;45
solar;22.5
solar;8.5
solar;46.5
solar;150
solar;300
solar;13
solar;9.3
solar;3
solar;4.7
solar;2
solar;80
solar;32
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;30
solar;10
solar;10
solar;5
solar;180
solar;70
solar;5
solar;50
solar;25
solar;600
solar;600
solar;600
solar;600
solar;100
solar;50
solar;150
solar;600
solar;600
solar;600
solar;600
solar;119
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;60
solar;30
solar;30
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;600
solar;14
solar;30
solar;36
solar;30
solar;43
solar;38
solar;123
solar;112
solar;127
solar;140
solar;30
solar;125
solar;235
solar;95
solar;33
solar;88
solar;20
solar;60
solar;25
solar;135
solar;50
solar;20
solar;30
solar;35
solar;20
solar;100
solar;60
solar;5
solar;35
solar;35
solar;180
solar;35
solar;10
solar;10
solar;100
solar;110
solar;20
solar;284
solar;10
solar;70
solar;70
solar;30
solar;10
solar;40
solar;40
