Energiequelle;Leistung in kW
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;2300
wind;500
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;1800
wind;1800
wind;600
wind;1800
wind;2000
wind;2000
wind;2000
wind;600
wind;600
wind;600
wind;1800
wind;600
wind;600
wind;600
wind;600
wind;5000
wind;600
wind;600
wind;2.3
wind;1500
wind;1500
wind;600
wind;1500
wind;1500
wind;1500
wind;1500
wind;1500
wind;600
wind;3
wind;600
wind;600
wind;2300
wind;2300
wind;2300
wind;2
wind;600
wind;2.3
wind;2300
wind;2.3
wind;2.3
wind;2.3
wind;2
wind;1.3
wind;1.3
wind;6
wind;6
wind;6
wind;1300
wind;1.3
wind;3
wind;1.3
wind;1.3
wind;2.3
wind;2.3
wind;600
wind;1.3
wind;2.3
wind;2050
wind;600
wind;2000
wind;3000
wind;2050
wind;2050
wind;600
wind;2.3
wind;750
wind;3200
wind;1500
wind;1500
wind;1500
wind;750
wind;1500
wind;1500
wind;3200
wind;750
wind;5000
wind;600
wind;600
wind;750
wind;900
wind;3400
wind;3400
wind;2000
wind;5000
wind;2
wind;600
wind;500
wind;80
wind;2050
wind;3200
wind;2050
wind;3200
wind;2000
wind;3200
wind;5000
wind;3.4
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2.4
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2300
wind;2000
wind;600
wind;600
wind;10
wind;2500
wind;2500
wind;9.8
wind;2500
wind;600
wind;5
wind;600
wind;3.4
wind;3.4
wind;600
wind;2300
wind;600
wind;2300
wind;300
wind;600
wind;600
wind;600
wind;3400
wind;600
wind;3400
wind;3400
wind;3400
wind;5
wind;3400
wind;3400
wind;600
wind;300
wind;300
wind;2300
wind;5
wind;500
wind;600
wind;850
wind;600
wind;2.5
wind;2.5
wind;2
wind;600
wind;600
wind;600
wind;2000
wind;2000
wind;2000
wind;2000
wind;3000
wind;2000
wind;3000
wind;3400
wind;3000
wind;3000
wind;600
wind;600
wind;600
wind;3370
wind;3000
wind;600
wind;3400
wind;3400
wind;3400
wind;3400
wind;3400
wind;3400
wind;3400
wind;500
wind;1300
wind;2.3
wind;2000
wind;2.3
wind;2.3
wind;3.4
wind;3.4
wind;3
wind;3.4
wind;2000
wind;2000
wind;2300
wind;600
wind;600
wind;600
wind;2300
wind;600
wind;600
wind;2300
wind;600
wind;500
wind;3.4
wind;2300
wind;1500
wind;1500
wind;2000
wind;2000
wind;6
wind;1500
wind;1500
wind;2300
wind;2300
wind;2300
wind;2300
wind;500
wind;500
wind;2300
wind;2000
wind;2300
wind;1300
wind;1300
wind;1300
wind;1300
wind;1300
wind;1300
wind;500
wind;500
wind;1500
wind;850
wind;1500
wind;1500
wind;1500
wind;1500
wind;1500
wind;1500
wind;3.4
wind;1500
wind;3000
wind;2000
wind;3200
wind;2000
wind;2000
wind;1500
wind;1500
wind;1500
wind;1500
wind;1.5
wind;2000
wind;2.3
wind;1500
wind;2.3
wind;600
wind;1.3
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;1500
wind;1500
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;600
wind;1.3
wind;600
wind;600
wind;150
wind;150
wind;2000
wind;1
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;600
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;1.3
wind;600
wind;600
wind;600
wind;600
wind;1050
wind;1050
wind;600
wind;1.05
wind;1050
wind;1050
wind;1050
wind;1050
wind;1050
wind;1.05
wind;1050
wind;1500
wind;1.05
wind;1500
wind;1500
wind;1050
wind;1500
wind;1050
wind;250
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;30
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;250
wind;600
wind;600
wind;2000
wind;1.8
wind;1.8
wind;1.8
wind;1500
wind;1500
wind;1500
wind;1500
wind;1500
wind;1500
wind;2000
wind;500
wind;600
wind;3.4
wind;3.4
wind;2000
wind;2000
wind;2000
wind;2000
wind;2000
wind;600
wind;600
wind;2000
wind;600
wind;1000
wind;2000
wind;2000
wind;2000
wind;2000
wind;2000
wind;2000
wind;600
wind;2000
wind;2000
wind;2000
wind;2000
wind;2000
wind;500
wind;2000
wind;600
wind;2000
wind;1.8
wind;600
wind;600
wind;600
wind;2.3
wind;600
wind;600
wind;3600
wind;3000
wind;3000
wind;2000
wind;3600
wind;2000
wind;3600
wind;2.3
wind;2.3
wind;2.3
wind;2000
wind;1000
wind;600
wind;1000
wind;3000
wind;2000
wind;2000
wind;600
wind;600
wind;6
wind;3000
wind;600
wind;3300
wind;3300
wind;1.8
wind;1.8
wind;5000
wind;2.3
wind;2000
wind;2000
wind;900
wind;900
wind;900
wind;900
wind;900
wind;900
wind;900
wind;900
wind;600
wind;600
wind;600
wind;600
wind;500
wind;500
wind;600
wind;500
wind;600
wind;600
wind;600
wind;2.5
wind;2.5
wind;2.5
wind;1.5
wind;1.5
wind;1.3
wind;1.3
wind;250
wind;1.3
wind;2.5
wind;600
wind;2.5
wind;1
wind;2.5
wind;2.5
wind;2.5
wind;2.5
wind;2.5
wind;2.5
wind;1
wind;600
wind;600
wind;600
wind;1.05
wind;1.5
wind;1.05
wind;1.5
wind;1.5
wind;1.5
wind;1.5
wind;1.05
wind;1.5
wind;1.65
wind;1500
wind;1500
wind;1500
wind;1.65
wind;1.65
wind;1.65
wind;1.5
wind;500
wind;1.5
wind;1.5
wind;33
wind;1050
wind;1050
wind;2050
wind;1050
wind;1.05
wind;1.05
wind;600
wind;1.05
wind;1.05
wind;600
wind;1.5
wind;1.05
wind;1.05
wind;500
wind;500
wind;500
wind;600
wind;200
wind;600
wind;600
wind;600
wind;600
wind;2300
wind;1.65
wind;600
wind;2000
wind;600
wind;2000
wind;600
wind;600
wind;225
wind;3370
wind;2000
wind;100
wind;2
wind;1.65
wind;1.65
wind;850
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;2
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;850
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;225
wind;100
wind;225
wind;200
wind;225
wind;225
wind;75
wind;200
wind;225
wind;100
wind;500
wind;500
wind;500
wind;500
wind;225
wind;200
wind;200
wind;225
wind;225
wind;225
wind;3370
wind;600
wind;500
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;850
wind;1.65
wind;850
wind;660
wind;660
wind;660
wind;660
wind;1650
wind;1.65
wind;1650
wind;1.65
wind;1.65
wind;1.65
wind;1650
wind;1650
wind;600
wind;600
wind;660
wind;850
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;6
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1650
wind;1.65
wind;1.65
wind;850
wind;1.65
wind;600
wind;500
wind;1500
wind;1500
wind;1500
wind;1650
wind;1500
wind;600
wind;3400
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;660
wind;1.65
wind;660
wind;1.65
wind;660
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;660
wind;1.65
wind;660
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;660
wind;660
wind;850
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1650
wind;1.65
wind;1650
wind;1650
wind;1.65
wind;1.65
wind;850
wind;1.65
wind;660
wind;1.65
wind;1.65
wind;1.65
wind;1650
wind;660
wind;1.65
wind;1650
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;1.65
wind;660
wind;1.65
wind;1.65
wind;2000
wind;850
wind;2000
wind;1.65
wind;2000
wind;1650
wind;1650
wind;1.65
wind;2000
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
wind;600
